MAL11E,CBA1R8C1
CCK955,CCK 600
OT,OT
,nal1200
,CCK1500
,
213.6555,363.95669
213.72399,364.00112
213.756,364.20886
213.81795,364.37397
213.96367,364.41894
214.09442,364.45173
214.24333,364.84768
214.45147,365.69585
214.48202,365.82731
214.60542,365.95539
214.68857,366.15671
214.91888,366.60741
215.0942,366.64404
215.15587,366.6728
215.18149,367.06868
215.21472,368.1119
215.44597,368.26387
215.47943,368.30268
215.56909,368.47782
215.67769,368.86159
215.88872,368.91875
215.90339,368.95457
216.0287,369.29488
216.07119,369.6857
216.07387,370.1392
216.15871,370.18823
216.20387,370.24105
216.46596,370.32982
216.66263,370.59961
216.66525,370.64068
216.712,370.66671
217.00079,370.76996
217.05392,371.05152
217.16536,371.39599
217.27999,371.42592
217.41902,371.73922
217.64461,371.78937
217.71907,371.85703
217.79623,372.68026
217.94095,372.8241
218.41525,372.96392
219.18475,373.54339
219.2981,373.75227
219.31733,374.10276
219.42949,374.35208
219.43537,374.53642
219.64924,374.65062
219.68181,374.81532
219.83854,374.94247
219.90556,374.98211
219.95019,375.06162
219.96808,376.41334
220.3609,376.56324
220.82174,376.70345
220.87047,376.96983
221.12324,377.25685
221.25062,377.32635
221.30604,377.39031
221.40679,377.66092
221.7986,378.4658
221.92154,378.51497
222.0233,378.85555
222.04983,378.89102
222.19868,379.10066
222.65559,379.16074
222.69679,379.23401
222.78152,379.5832
222.9716,379.67305
223.05051,380.2656
223.0762,380.31197
223.10486,380.75803
224.1929,381.35861
224.33226,381.55143
224.37646,381.68854
224.41093,381.72869
224.47396,382.13899
224.53256,382.25214
224.88528,382.31644
224.90093,383.1592
225.23957,383.53978
225.44601,383.62297
225.54018,384.58693
225.58263,385.05823
225.58928,385.14212
225.59396,385.18437
225.59473,385.28933
225.59614,386.0294
225.74059,386.12421
226.10877,387.43809
226.18113,387.75641
226.44701,387.81414
226.75083,388.06333
226.79554,388.18632
226.91975,388.36422
227.22748,388.50156
227.33628,388.56092
227.38383,388.63449
228.19394,388.78429
228.27177,389.00587
228.39721,389.17644
228.41935,389.44588
228.55719,389.68344
